w_sparsity,leak_rate,state_gram,input_scaling,input_sparsity,aggregation,reservoir_size,converters,spectral_radius,samples,fold,result
0.050000000000000003,0.0050000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,0,0.5933333333333334
0.050000000000000003,0.0050000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,1,0.5533333333333333
0.050000000000000003,0.0050000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,2,0.6066666666666667
0.050000000000000003,0.0050000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,3,0.5533333333333333
0.050000000000000003,0.0050000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,4,0.5466666666666666
0.050000000000000003,0.0050000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,5,0.58
0.050000000000000003,0.0050000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,6,0.5533333333333333
0.050000000000000003,0.0050000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,7,0.54
0.050000000000000003,0.0050000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,8,0.6066666666666667
0.050000000000000003,0.0050000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,9,0.54
0.050000000000000003,0.01,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,0,0.5933333333333334
0.050000000000000003,0.01,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,1,0.5866666666666667
0.050000000000000003,0.01,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,2,0.64
0.050000000000000003,0.01,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,3,0.5733333333333334
0.050000000000000003,0.01,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,4,0.5866666666666667
0.050000000000000003,0.01,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,5,0.56
0.050000000000000003,0.01,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,6,0.5533333333333333
0.050000000000000003,0.01,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,7,0.5933333333333334
0.050000000000000003,0.01,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,8,0.6
0.050000000000000003,0.01,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,9,0.52
0.050000000000000003,0.050000000000000003,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,0,0.6733333333333333
0.050000000000000003,0.050000000000000003,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,1,0.6333333333333333
0.050000000000000003,0.050000000000000003,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,2,0.6733333333333333
0.050000000000000003,0.050000000000000003,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,3,0.6
0.050000000000000003,0.050000000000000003,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,4,0.6466666666666666
0.050000000000000003,0.050000000000000003,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,5,0.6533333333333333
0.050000000000000003,0.050000000000000003,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,6,0.64
0.050000000000000003,0.050000000000000003,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,7,0.5933333333333334
0.050000000000000003,0.050000000000000003,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,8,0.66
0.050000000000000003,0.050000000000000003,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,9,0.6333333333333333
0.050000000000000003,0.10000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,0,0.68
0.050000000000000003,0.10000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,1,0.6133333333333333
0.050000000000000003,0.10000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,2,0.6533333333333333
0.050000000000000003,0.10000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,3,0.6133333333333333
0.050000000000000003,0.10000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,4,0.6466666666666666
0.050000000000000003,0.10000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,5,0.64
0.050000000000000003,0.10000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,6,0.6466666666666666
0.050000000000000003,0.10000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,7,0.6266666666666667
0.050000000000000003,0.10000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,8,0.7
0.050000000000000003,0.10000000000000001,1.0,0.5,0.050000000000000003,[[u'average']],1000.0,[[u'fw']],1.0,0,9,0.6733333333333333
